year,noncit_pop,felon_inel,overseas_el
1952,1899,379,1131
1954,1939,411,987
1956,1986,428,981
1958,2129,464,951
1960,2193,481,912
1962,2259,491,1113
1964,2282,478,1212
1966,2363,448,1621
1968,2766,421,1856
1970,3148,443,1765
1972,3640,443,1581
1974,4148,496,1510
1976,4558,588,1562
1978,5780,629,1753
1980,6827,803,1803
1982,10554,932,1982
1984,13252,1153,2361
1986,12223,1308,2216
1988,13942,1533,2527
1990,16297,1845,2659
1992,17826,2117,2418
1994,13205,2365,2229
1996,13948,2545,2499
1998,15070,2822,2937
2000,16500,2851,3008
2002,17237,3168,3308
2004,18068,3158,3863
2006,19392,3363,4418
2008,19393,3145,4972
2010,20062,3244,4972
2012,20240,3352,5127
2014,20640,3330,5346
2016,20687,3176,4740
2018,20241,3264,4793
2020,20092,3294,4971
