congress,statabb,district,name,party,aauw,age,srvlng,woman,ngirls,nboys,demvote
105,HI,1,"ABERCROMBIE, NEIL",1,100,58,7,0,0,0,.56999999
105,NY,5,"ACKERMAN, GARY L.",1,88,54,15,0,1,2,.60000002
105,AL,4,"ADERHOLT, ROBERT B.",2,0,31,1,0,0,0,.43000001
105,ME,1,"ALLEN, THOMAS H.",1,100,51,1,0,2,0,.51999998
105,NJ,1,"ANDREWS, ROBERT E.",1,100,39,7,0,2,0,.58999997
105,TX,7,"ARCHER, W.R.",2,0,68,27,0,3,4,.28
105,TX,26,"ARMEY, RICHARD K.",2,0,56,13,0,1,4,.30000001
105,AL,6,"BACHUS, SPENCER",2,0,49,5,0,2,3,.27000001
105,KY,6,"BAESLER, SCOTTY",1,75,55,5,0,1,1,.46000001
105,LA,6,"BAKER, RICHARD H.",2,0,48,11,0,1,1,.5
105,ME,2,"BALDACCI, JOHN E.",1,100,41,3,0,0,1,.50999999
105,NC,10,"BALLENGER, CASS",2,0,70,11,0,3,0,.31
105,MI,5,"BARCIA, JAMES A.",1,63,44,5,0,0,0,.56999999
105,GA,7,"BARR, BOB",2,0,48,3,0,1,3,.40000001
105,WI,5,"BARRETT, THOMAS M.",1,88,43,5,0,1,1,.63
105,NE,3,"BARRETT, WILLIAM E.",2,38,67,7,0,2,2,.28999999
105,MD,6,"BARTLETT, ROSCOE G.",2,0,70,5,0,4,6,.38
105,TX,6,"BARTON, JOE L.",2,0,47,13,0,2,1,.33000001
105,NH,2,"BASS, CHARLES F.",2,25,45,3,0,1,1,.5
105,VA,1,"BATEMAN, HERBERT H.",2,13,68,15,0,1,1,.40000001
105,CA,30,"BECERRA, XAVIER",1,100,38,5,0,2,0,.70999998
105,TX,25,"BENTSEN, KENNETH",1,100,37,3,0,2,0,.50999999
105,NE,1,"BEREUTER, DOUGLAS K.",2,13,57,19,0,0,2,.38
105,CA,26,"BERMAN, HOWARD L.",1,100,55,15,0,2,0,.64999998
105,AR,1,"BERRY, ROBERT M.",1,63,54,1,0,1,1,.57999998
105,CA,49,"BILBRAY, BRIAN P.",2,25,45,3,0,3,2,.49000001
105,FL,9,"BILIRAKIS, MICHAEL",2,0,66,15,0,0,2,.44
105,GA,2,"BISHOP, SANFORD D., JR.",1,88,49,5,0,0,0,.49000001
105,IL,5,"BLAGOJEVICH, ROD R.",1,100,40,1,0,1,0,.63
105,VA,7,"BLILEY, THOMAS J.",2,0,64,17,0,1,1,.34999999
105,OR,3,"BLUMENAUER, EARL",1,100,48,1,0,1,1,.57999998
105,MO,7,"BLUNT, ROY",2,13,47,1,0,1,2,.37
105,NY,23,"BOEHLERT, SHERWOOD L.",2,88,60,15,0,3,1,.46000001
105,OH,8,"BOEHNER, JOHN A.",2,0,47,7,0,2,0,.37
105,TX,23,"BONILLA, HENRY",2,13,43,5,0,1,1,.5
105,MI,10,"BONIOR, DAVID E.",1,75,51,21,0,1,2,.49000001
105,CA,44,"BONO, SONNY",2,0,61,3,0,3,1,.44
105,PA,3,"BORSKI, ROBERT A., JR.",1,63,48,15,0,4,1,.61000001
105,IA,3,"BOSWELL, LEONARD L.",1,88,63,1,0,2,1,.5
105,VA,9,"BOUCHER, FREDERICK C.",1,88,50,15,0,0,0,.46000001
105,FL,2,"BOYD, F. ALLEN, JR.",1,75,51,1,0,1,2,.47
105,TX,8,"BRADY, KEVIN",2,0,41,1,0,0,0,.27000001
105,FL,3,"BROWN, CORRINE",1,100,50,5,1,1,0,.57999998
105,CA,42,"BROWN, GEORGE E., JR.",1,100,76,33,0,0,6,.52999997
105,OH,13,"BROWN, SHERROD",1,100,44,5,0,2,0,.46000001
105,TN,7,"BRYANT, EDWARD G.",2,0,48,3,0,0,3,.41
105,KY,4,"BUNNING, JIM",2,0,65,11,0,5,4,.41
105,NC,5,"BURR, RICHARD M.",2,25,41,3,0,0,2,.41
105,IN,6,"BURTON, DANNY L.",2,0,58,15,0,2,1,.28
105,IN,5,"BUYER, STEVE",2,13,38,5,0,1,1,.37
105,AL,1,"CALLAHAN, HERBERT L. (SONNY)",1,0,64,13,0,1,4,.38999999
105,CA,43,"CALVERT, KEN",2,0,43,5,0,0,0,.43000001
105,MI,4,"CAMP, DAVID LEE",2,0,43,7,0,0,1,.47
105,CA,15,"CAMPBELL, TOM",2,38,44,9,0,0,0,.52999997
105,FL,12,"CANADY, CHARLES T.",2,0,42,5,0,0,0,.43000001
105,UT,3,"CANNON, CHRISTOPHER B.",2,13,46,1,0,5,2,.28999999
105,CA,22,"CAPPS, WALTER",1,100,62,1,0,2,1,.44
105,MD,3,"CARDIN, BENJAMIN L.",1,100,53,11,0,1,1,.57999998
105,IN,10,"CARSON, JULIA M.",1,88,58,1,1,1,1,.54000002
105,DE,1,"CASTLE, MICHAEL N.",2,63,57,5,0,0,0,.51999998
105,OH,1,"CHABOT, STEVEN",2,0,43,3,0,1,1,.5
105,GA,8,"CHAMBLISS, C. SAXBY",2,0,53,3,0,1,1,.47
105,ID,1,"CHENOWETH, HELEN P.",2,0,58,3,1,1,1,.34999999
105,NE,2,"CHRISTENSEN, JON LYNN",2,0,33,3,0,0,0,.38
105,MO,1,"CLAY, WILLIAM",1,100,65,29,0,2,1,.74000001
